tj,pers
ҳазор сарбоз дар наздикии марз бо он кишвар мустақар кардааст,هزار سرباز در نزدیکی مرز با آن کشور مستقر کرده است
накунанд,نکنند
дарсад саҳм хоҳанд дошт ва аз,درصد سهم خواهند داشت و از
вазири кобине дасти кам,وزیر کابینه دست کم
вазири он бояд зан бошад,وزیر آن باید زن باشد
воҳиди амалиётии муштарак,واحد عملیاتی مشترک
эҳё хоҳад кард,احیا خواهد کرد
Дар ин даврон озодиҳои сиёсӣ дар ин кишвар башиддат маҳдуд шуд,در این دوران آزادی‌های سیاسی در این کشور به شدت محدود شد
Ӯ соли пеш аз қудрат сарнагун ва сипас кушта шуд,او سال پیش از قدرت سرنگون و سپس کشته شد
кофар,کافر
медонад,می‌داند
ҳазор нафар кушта шуданд,هزار نفر کشته شدند
гоме муҳим,گامی مهم
дар ҷараён аст,در جریان است
Оқои Карзай дар барномаи Нюзнойти Би-би-сӣ гуфт,آقای کرزی در برنامه نیوزنایت بی‌بی سی گفت
адами тавофуқ бо Эрон аз тавофуқи бад беҳтар аст,عدم توافق با ایران از توافق بد بهتر است
"Бано бар ин мустанад дар ин мадрак, ки торихи он ба июни",بنا بر این مستند در این مدرک که تاریخ آن به ژوئن
Ӯ ҷузъиёти бештаре ироа накард,او جزئیات بیشتری ارائه نکرد
Ихвонулмуслимин панҷшанбе бо судури баёнияе гуфт,اخوان المسلمین پنجشنبه با صدور بیانیه‌ای گفت
низомии итолиёӣ дар Афғонистон хоҳанд монд,نظامی ایتالیایی در افغانستان خواهند ماند
"Ин мард, ки Абдул ном дорад гуфтааст",این مرد که عبدل نام دارد گفته است
таҷовуз зиндагии духтарашро вайрон карда,تجاوز زندگی دخترش را ویران کرده
Вай ҳамчунин тайи нутқе дар ҷамъи сарбозони Фурт Кемпел гуфт,وی همچنین طی نقطی در جمع سربازان فورت کمپل گفت
Онҳо ба таври хастагинопазир барои ин маъмурият тамрин карданд,آن‌ها به‌طور خستگی ناپذیر برای این ماموریت تمرین کردند
"Вақте ки дастур додам, онҳо омода буданд",وقتی که دستور دادم آن‌ها آماده بودند
Дар соири нуқоти кишвар низ даргириҳое гузориш шудааст,در سایر نقاط کشور نیز درگیری‌هایی گزارش‌شده‌است
озими он кишвар мешавад,عازم آن کشور می‌شود
"Юрген Тритин, раҳбари ҳизби сабзҳо дар Олмон гуфтааст",یورگن تریتن ، رهبر حزب سبزها در آلمان گفته است
Аз фарде мисли Эдворд Иснувден бояд муҳофизат шавад,از فردی مثل ادوارد اسنودن باید محافظت شود
Чанд ҳизби кучактар низ дар рақобатҳои имсол ширкат доранд,چند حزب کوچک‌تر نیز در رقابت‌های امسال شرکت دارند
"Дар Мекзикуситӣ ҳудуди понздаҳ ҳазор нафар, ки хоҳони бозгашти солими",در مکزیکوسیتی حدود پانزده هزار نفر که خواهان بازگشت سالم
"донишҷӯи мафқудшуда ҳастанд, даст ба роҳпаймоӣ задаанд",دانشجوی مفقود‌شده‌هستند ، دست به راهپیمایی زده‌اند
нафар мерасад,نفر می‌رسد
кушта барҷой гузоштааст,کشته بر جای گذاشته است
Оқои Путин дар ин мустанад мегӯяд,آقای پوتین در این مستند می‌گوید
Ин созмони мудофеъи ҳуқуқи башар бо тақдир аз эҷоди,این سازمان مدافع حقوق‌بشر با تقدیر ازایجاد
"Мо маҷбурем дубора ин корро бикунем, ҳамаи мо бо ҳам",ما مجبوریم دوباره این کار را بکینم ، همه ما با هم
Даргирии хунин мёни ду тараф то кунун беш аз,درگیری خونین میان دو طرف تاکنون بیش از
Аз оғози набарди Кубонӣ беш аз,از آغاز نبرد کوبانی بیش از
ҳазор нафар аз марз гузашта ва дар Туркия паноҳ гирифтаанд,هزار نفر از مرز گذشته و در ترکیه پناه گرفته اند
НАТО ҳафтаҳои пурталотумеро дар Афғонистон пушти сар мегзорад,ناتو هفته‌های پرتلفاتی را در افغانستان پشت سر می‌گذارد
Шикояти беш аз,شکایت بیش از
"Юсуфи Нуристонӣ гуфт, ки ин бор ба ҳудуди",یوسف نورستانی گفت که این بار به حدود
Маскав дахолати нооромиҳои шарқи Укройнро рад мекунад,مسکو دخالت در ناآرامی‌های شرق اوکراین را رد می‌کند
тавофуқ кунанд,توافق کنند
Ӯ ҳамчунин дар гуфтугӯ бо Хабаргузории донишҷӯёни Эрон,او همچنین در گفت‌وگو با خبرگزاری دانشجویان ایران
